,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_9,12_10,12_11,12_12
4-5C-rep1,1.3680248352217239e-06,1.9983303925556974e-06,2.866027520143845e-07,0.1443342906201853,3.051797501931541e-06,1.5637653581062375e-06,2.3077088188435453e-07,0.8556535706317965,6.268426631518414e-07,1.1161883366498806e-06,1.2198833213338802e-06,6.765419755340055e-07
4-5C-rep2,4.3939920437739797e-07,6.418485702635899e-07,9.20546308555009e-08,0.11456203296037644,9.802142181521966e-07,1.555810913263091e-05,7.412185750050456e-08,0.8854190123262424,2.013371105313941e-07,3.585112305214827e-07,3.9181727336148066e-07,2.1730015283631487e-07
4-6A-rep1,0.02074049368324446,0.7575932462282473,4.95302225386587e-07,0.19345943102094065,0.028196168835488998,2.7024739169762014e-06,3.988144934002911e-07,7.739921276195887e-07,1.0832993188103758e-06,1.928978571236788e-06,2.108182561130211e-06,1.1691888640085796e-06
4-6A-rep2,0.013682792524478711,0.7394192295303501,2.6897645323382987e-07,0.18464066005465307,0.04078343807724463,1.4675925362092652e-06,2.1657828783089073e-07,0.0036957474113834504,0.011834433380140176,0.005939966080850291,1.1448595201033634e-06,6.349341022161995e-07
4-6B-rep1,1.945718794785869e-06,0.09127309089818252,4.076302906747743e-07,0.3200220788737932,4.34052043830503e-06,0.13980771099617278,3.2822155754133213e-07,0.4269507266289418,0.0016009543447112315,0.020335718913201867,1.7350196024624403e-06,9.622343128330165e-07
4-6B-rep2,7.63248229613424e-07,0.13167843898772416,1.5990136834165017e-07,0.22206374588762431,1.7026584463361724e-06,0.14906954122500515,1.287516589682488e-07,0.4863040912346299,3.497279731908258e-07,0.010880020323996913,6.805971363759074e-07,3.774562067813682e-07
4-6C-rep1,1.3413652973714845e-06,0.8813108492034846,2.810175486477571e-07,0.10222460548817416,0.01645715569182848,1.5332913047996177e-06,2.2627370836679044e-07,4.3913667096196514e-07,6.146269962471299e-07,1.094436490891839e-06,1.1961107078983168e-06,6.633577876891252e-07
4-7A-rep1,1.003549524406975e-06,0.1333168666030996,2.1024476169772861e-07,0.35442374786101466,2.2387239272256444e-06,0.04566605611569724,1.692878687575047e-07,3.2854241730952885e-07,4.5983643007626795e-07,0.32845805565787484,0.03473098378126202,0.10339987979612225
4-7B-rep1,2.475705651360493e-06,3.6163655211228223e-06,5.186631372393775e-07,0.10180699977675173,5.5228181008243256e-06,2.8299360031997618e-06,4.1762456480400377e-07,8.104974388040124e-07,1.1343930926717086e-06,0.8981722422712064,2.2076149166818418e-06,1.2243336152158862e-06
4-7B-rep2,1.0456541168601965e-06,1.5274301664882052e-06,2.1906572149235212e-07,0.06858167606652871,2.332651089043405e-06,1.1952690056552422e-06,1.763904546767409e-07,3.423266344786698e-07,4.791291754890532e-07,0.9314095564784234,9.324216813908365e-07,5.171170023614417e-07
4-7C-rep1,1.541110134626499e-06,2.251163239884164e-06,3.228643182268153e-07,0.07757886035038283,3.437917162002591e-06,1.7616161487044692e-06,2.5996848572638107e-07,5.045292102246791e-07,7.061520786228979e-07,0.922408217963936,1.3742254534909657e-06,7.621394496297317e-07
4-7C-rep2,4.775488040928839e-07,6.975752666016238e-07,1.0004701519327015e-07,0.06540532923363655,1.065318559911123e-06,5.458777190433681e-07,8.05572792437443e-08,1.5634010545983197e-07,2.1881763871197797e-07,0.9345906666816421,4.258357057833909e-07,2.361666272546417e-07
4-8A-rep1,2.7696210809696384e-06,0.6851818178248744,5.802387525474273e-07,0.28063275713603403,6.178486295411559e-06,0.034167154543419564,4.672048948857513e-07,9.067195816877125e-07,1.2690680824044452e-06,2.25976800122704e-06,2.469702651664202e-06,1.369686331239838e-06
4-8A-rep2,3.2738714304356193e-06,0.7034724356573364,6.858797717309291e-07,0.2830408763156488,0.00011948127758675701,3.7423054011875286e-06,5.522664338583959e-07,1.0718012490230893e-06,1.5001206362882876e-06,2.6711920809180575e-06,0.001124698416166813,0.012229010896257752
4-8B-rep1,1.6234059504351445e-06,2.3713761378349e-06,3.4010538482353676e-07,0.06392148277045855,3.62150313108592e-06,0.9360654366514861,2.7385089304866876e-07,5.314712450746377e-07,7.438608445894044e-07,1.3245569384930332e-06,1.447609569433759e-06,8.028379606303304e-07
4-8B-rep2,1.8678476806859487e-07,2.728442271572094e-07,3.913162040961881e-08,0.030945426529077315,4.1668051186966355e-07,0.9690530684544247,3.1508554917987333e-08,6.114966698242334e-08,8.558664904160196e-08,1.5239999612158205e-07,1.665581043411146e-07,9.237239904954433e-08
4-8C-rep1,3.635169572519353e-06,0.5947680620075537,7.615721416008806e-07,0.2263390250465124,8.109356741841657e-06,0.16691139878243674,6.132134932429783e-07,1.1900831694293348e-06,1.6656710588717149e-06,2.9659796913942762e-06,0.01196077538359533,1.7977340327997399e-06
4-8C-rep2,3.111895558960767e-06,0.6903133614635909,6.519456432491923e-07,0.16496853645658702,6.942034127303771e-06,0.14469757368525846,5.249428694450493e-07,1.0187735278534618e-06,1.4259016718166516e-06,2.539033969527026e-06,2.774912700684961e-06,1.5389544947651428e-06
4-9A-rep1,3.090476052295257e-06,4.514386043120493e-06,6.474582323491332e-07,1.5120257493085118e-05,0.015785090840713598,3.5326693391885435e-06,5.213296320860021e-07,1.01176120177855e-06,1.416087039614137e-06,2.521557529844583e-06,0.984181004815015,1.5283617080105812e-06
4-9B-rep1,3.9124584097974015e-06,0.00040789159907136745,8.196644669890211e-07,0.15767233353453908,8.727934240678874e-06,4.472263053090689e-06,6.599890983839269e-07,1.2808620923191773e-06,1.7927275776910374e-06,3.1922230738857943e-06,0.8331791575089095,0.008715759235467243
4-9C-rep1,0.007437967920602197,1.049863871613792e-06,1.5057263601949784e-07,0.12724943232133373,0.06814355212675394,8.215562147645132e-07,1.2124021754029586e-07,2.3529479364454525e-07,3.29324654061653e-07,5.864124435733121e-07,0.7971653979312715,3.5543520750589677e-07
5-10A-rep1,2.0361263530430742e-06,2.974253880201015e-06,4.2657077649951894e-07,0.09914895741484678,4.542202128097125e-06,0.019467337856054916,3.434723274183606e-07,6.665878042956672e-07,9.329734612956092e-07,1.6613006055871686e-06,0.881369114297363,1.0069443988576039e-06
5-10B-rep1,1.827076003320192e-06,2.6688853980872196e-06,3.827744915216685e-07,0.1755506531297872,4.075851431357905e-06,2.0884987516737904e-06,3.0820781151067736e-07,5.981488228931858e-07,8.371845000287791e-07,1.49073384676408e-06,0.7908784031961386,0.03355666631301708
5-10B-rep2,3.237912428816076e-06,4.729752449185837e-06,6.783463201747077e-07,0.14768468254486522,0.0021151930841859555,3.7012012928431695e-06,5.462005421422721e-07,1.0600289776714555e-06,1.4836438620666979e-06,0.0003354792102010417,0.8101290154701984,0.03972019260467643
5-10C-rep1,1.950660662415097e-06,2.8494106151480316e-06,4.0866561753884975e-07,0.19691610151636524,4.351544784426137e-06,2.2297662226365223e-06,3.2905519675722236e-07,6.386080146459868e-07,0.0075536572325766065,0.014371893651060551,0.7811446252106237,9.646782603423199e-07
5-11A-rep1,2.843007028385393e-06,0.04822433477151393,5.956131916270579e-07,0.118177708724781,6.342196079937496e-06,0.00419207367174623,4.79584304503931e-07,9.307447005026204e-07,1.3026942575524693e-06,0.053385470486493225,0.7760065125273404,1.4059785626108002e-06
